ph_label,ph_value,base_atoms,n_si,n_o_base,n_h2o,n_o_total,n_h_total,total_atoms,box_A
pH6p0,6.0,192,64,128,12,140,24,228,17.160000
pH6p5,6.5,192,64,128,10,138,20,222,17.160000
pH7p0,7.0,192,64,128,8,136,16,216,17.160000
pH7p5,7.5,192,64,128,10,138,20,222,17.160000
pH8p0,8.0,192,64,128,12,140,24,228,17.160000
