q_Ainv,two_theta_deg,I_norm
5.000000000000000000e-01,7.028700128038227746e+00,1.000000000000000000e+00
5.050000000000000044e-01,7.099076738982640578e+00,9.678596050183924104e-01
5.100000000000000089e-01,7.169456031107380056e+00,9.361639862828753378e-01
5.150000000000000133e-01,7.239838031269815843e+00,9.049226789307117658e-01
5.200000000000000178e-01,7.310222766336568867e+00,8.741448485872331808e-01
5.250000000000000222e-01,7.380610263183611686e+00,8.438392881974015047e-01
5.300000000000000266e-01,7.451000548696358194e+00,8.140144151624728597e-01
5.350000000000000311e-01,7.521393649769757772e+00,7.846782687821229896e-01
5.400000000000000355e-01,7.591789593308383211e+00,7.558385080021376989e-01
5.450000000000000400e-01,7.662188406226541737e+00,7.275024094674911179e-01
5.500000000000000444e-01,7.732590115448353174e+00,6.996768658803740326e-01
5.550000000000000488e-01,7.802994747907842310e+00,6.723683846624665117e-01
5.600000000000000533e-01,7.873402330549052586e+00,6.455830869204867151e-01
5.649999999999999467e-01,7.943812890326117149e+00,6.193267067137894211e-01
5.700000000000000622e-01,8.014226454203379646e+00,5.936045906225199120e-01
5.749999999999999556e-01,8.084643049155454619e+00,5.684216976145975986e-01
5.799999999999999600e-01,8.155062702167354516e+00,5.437825992095108862e-01
5.849999999999999645e-01,8.225485440234571399e+00,5.196914799367108317e-01
5.899999999999999689e-01,8.295911290363166657e+00,4.961521380860913211e-01
5.949999999999999734e-01,8.366340279569874028e+00,4.731679867478432167e-01
5.999999999999999778e-01,8.436772434882191973e+00,4.507420551387126828e-01
6.049999999999999822e-01,8.507207783338479601e+00,4.288769902114661359e-01
6.099999999999999867e-01,8.577646351988050810e+00,4.075750585441378360e-01
6.149999999999999911e-01,8.648088167891273770e+00,3.868381485054096514e-01
6.199999999999999956e-01,8.718533258119657958e+00,3.666677726922562552e-01
6.250000000000000000e-01,8.788981649755958969e+00,3.470650706357731319e-01
6.300000000000000044e-01,8.859433369894269106e+00,3.280308117708986004e-01
6.350000000000000089e-01,8.929888445640118633e+00,3.095653986655360068e-01
6.400000000000000133e-01,9.000346904110561042e+00,2.916688705043860574e-01
6.450000000000000178e-01,9.070808772434283185e+00,2.743409068226060898e-01
6.500000000000000222e-01,9.141274077751686988e+00,2.575808314842289448e-01
6.550000000000000266e-01,9.211742847215003138e+00,2.413876169000919170e-01
6.600000000000000311e-01,9.282215107988367464e+00,2.257598884798552030e-01
6.650000000000000355e-01,9.352690887247932849e+00,2.106959293125180155e-01
6.700000000000000400e-01,9.423170212181961602e+00,1.961936850696827384e-01
6.750000000000000444e-01,9.493653109990921379e+00,1.822507691256619877e-01
6.799999999999999378e-01,9.564139607887574002e+00,1.688644678883738093e-01
6.850000000000000533e-01,9.634629733097098025e+00,1.560317463348284972e-01
6.899999999999999467e-01,9.705123512857150914e+00,1.437492537448848140e-01
6.950000000000000622e-01,9.775620974417996933e+00,1.320133296268051482e-01
6.999999999999999556e-01,9.846122145042579987e+00,1.208200098280479695e-01
7.050000000000000711e-01,9.916627052006647958e+00,1.101650328245903643e-01
7.099999999999999645e-01,9.987135722598816656e+00,1.000438461819972286e-01
7.149999999999999689e-01,1.005764818412070305e+01,9.045161318132566297e-02
7.199999999999999734e-01,1.012816446388699632e+01,8.138321960288895374e-02
7.249999999999999778e-01,1.019868458922557330e+01,7.283328066079364227e-02
7.299999999999999822e-01,1.026920858747757848e+01,6.479614808110649438e-02
7.349999999999999867e-01,1.033973648599754469e+01,5.726591731642337313e-02
7.399999999999999911e-01,1.041026831215347315e+01,5.023643488955793768e-02
7.449999999999999956e-01,1.048080409332694352e+01,4.370130585900795089e-02
7.500000000000000000e-01,1.055134385691320098e+01,3.765390139880819831e-02
7.550000000000000044e-01,1.062188763032126815e+01,3.208736648534336183e-02
7.600000000000000089e-01,1.069243544097403564e+01,2.699462768365210388e-02
7.650000000000000133e-01,1.076298731630836336e+01,2.236840102573497621e-02
7.700000000000000178e-01,1.083354328377518172e+01,1.820119997335491180e-02
7.750000000000000222e-01,1.090410337083958758e+01,1.448534345780662196e-02
7.800000000000000266e-01,1.097466760498094196e+01,1.121296398913240733e-02
7.850000000000000311e-01,1.104523601369297836e+01,8.376015827255344631e-03
7.900000000000000355e-01,1.111580862448389340e+01,5.966283207516881459e-03
7.949999999999999289e-01,1.118638546487645158e+01,3.975388613119998187e-03
8.000000000000000444e-01,1.125696656240808835e+01,2.394801087002008683e-03
8.049999999999999378e-01,1.132755194463099535e+01,1.215844575691414024e-03
8.100000000000000533e-01,1.139814163911224654e+01,4.297062977401825746e-04
8.149999999999999467e-01,1.146873567343386746e+01,2.744512936785602965e-05
8.200000000000000622e-01,1.153933407519297027e+01,0.000000000000000000e+00
8.249999999999999556e-01,1.160993687200181590e+01,3.381982904468530953e-04
8.300000000000000711e-01,1.168054409148795436e+01,1.032764226521889388e-03
8.349999999999999645e-01,1.175115576129429229e+01,2.074327260979808452e-03
8.400000000000000799e-01,1.182177190907922437e+01,3.453430436719496458e-03
8.449999999999999734e-01,1.189239256251669907e+01,5.160538724284762478e-03
8.500000000000000888e-01,1.196301774929636252e+01,7.186047326781080588e-03
8.549999999999999822e-01,1.203364749712361892e+01,9.520289945418571043e-03
8.599999999999999867e-01,1.210428183371976374e+01,1.215354699899315154e-02
8.649999999999999911e-01,1.217492078682207080e+01,1.507605379071779404e-02
8.699999999999999956e-01,1.224556438418389170e+01,1.827800861592911164e-02
8.750000000000000000e-01,1.231621265357477135e+01,2.174958080430661189e-02
8.800000000000000044e-01,1.238686562278053849e+01,2.548091869036292478e-02
