q_Ainv,two_theta_deg,I_norm
6.550000000000000266e-01,9.211742847215003138e+00,2.317772824441255985e-01
6.600000000000000311e-01,9.282215107988367464e+00,2.162179894465423025e-01
6.650000000000000355e-01,9.352690887247932849e+00,2.012426897162388206e-01
6.700000000000000400e-01,9.423170212181961602e+00,1.868488766575962801e-01
6.750000000000000444e-01,9.493653109990921379e+00,1.730336982861012673e-01
6.799999999999999378e-01,9.564139607887574002e+00,1.597939631206043987e-01
6.850000000000000533e-01,9.634629733097098025e+00,1.471261462885355142e-01
6.899999999999999467e-01,9.705123512857150914e+00,1.350263958371090423e-01
6.950000000000000622e-01,9.775620974417996933e+00,1.234905392434044041e-01
6.999999999999999556e-01,9.846122145042579987e+00,1.125140901161097162e-01
7.050000000000000711e-01,9.916627052006647958e+00,1.020922550815676344e-01
7.099999999999999645e-01,9.987135722598816656e+00,9.221994084668616587e-02
7.149999999999999689e-01,1.005764818412070305e+01,8.289176143114516948e-02
7.199999999999999734e-01,1.012816446388699632e+01,7.410204556126510911e-02
7.249999999999999778e-01,1.019868458922557330e+01,6.584484421779535079e-02
7.299999999999999822e-01,1.026920858747757848e+01,5.811393832982071628e-02
7.349999999999999867e-01,1.033973648599754469e+01,5.090284660690248125e-02
7.399999999999999911e-01,1.041026831215347315e+01,4.420483350151933194e-02
7.449999999999999956e-01,1.048080409332694352e+01,3.801291729381379297e-02
7.500000000000000000e-01,1.055134385691320098e+01,3.231987829060842254e-02
7.550000000000000044e-01,1.062188763032126815e+01,2.711826713061868052e-02
7.600000000000000089e-01,1.069243544097403564e+01,2.240041318775880946e-02
7.650000000000000133e-01,1.076298731630836336e+01,1.815843306441900992e-02
7.700000000000000178e-01,1.083354328377518172e+01,1.438423916657617652e-02
7.750000000000000222e-01,1.090410337083958758e+01,1.106954835259725198e-02
7.800000000000000266e-01,1.097466760498094196e+01,8.205890647597406662e-03
7.850000000000000311e-01,1.104523601369297836e+01,5.784618015223440615e-03
7.900000000000000355e-01,1.111580862448389340e+01,3.796913178752500933e-03
