q_Ainv,two_theta_deg,I_norm
5.000000000000000000e-01,7.028700128038227746e+00,1.000000000000000000e+00
5.050000000000000044e-01,7.099076738982640578e+00,9.675453971230574268e-01
5.100000000000000089e-01,7.169456031107380056e+00,9.355473675876574413e-01
5.150000000000000133e-01,7.239838031269815843e+00,9.040155092496158229e-01
5.200000000000000178e-01,7.310222766336568867e+00,8.729590393344091037e-01
5.250000000000000222e-01,7.380610263183611686e+00,8.423867912997302643e-01
5.300000000000000266e-01,7.451000548696358194e+00,8.123072120139491759e-01
5.350000000000000311e-01,7.521393649769757772e+00,7.827283592507429111e-01
5.400000000000000355e-01,7.591789593308383211e+00,7.536578994998807124e-01
5.450000000000000400e-01,7.662188406226541737e+00,7.251031060938786243e-01
5.500000000000000444e-01,7.732590115448353174e+00,6.970708576499456965e-01
5.550000000000000488e-01,7.802994747907842310e+00,6.695676368263780986e-01
5.600000000000000533e-01,7.873402330549052586e+00,6.425995293922823759e-01
5.649999999999999467e-01,7.943812890326117149e+00,6.161722236092385119e-01
5.700000000000000622e-01,8.014226454203379646e+00,5.902910099232373531e-01
5.749999999999999556e-01,8.084643049155454619e+00,5.649607809649845880e-01
5.799999999999999600e-01,8.155062702167354516e+00,5.401860318563649344e-01
5.849999999999999645e-01,8.225485440234571399e+00,5.159708608206512448e-01
5.899999999999999689e-01,8.295911290363166657e+00,4.923189700937410374e-01
5.949999999999999734e-01,8.366340279569874028e+00,4.692336671334877973e-01
5.999999999999999778e-01,8.436772434882191973e+00,4.467178661239364357e-01
6.049999999999999822e-01,8.507207783338479601e+00,4.247740897710255981e-01
6.099999999999999867e-01,8.577646351988050810e+00,4.034044713860996390e-01
6.149999999999999911e-01,8.648088167891273770e+00,3.826107572533249401e-01
6.199999999999999956e-01,8.718533258119657958e+00,3.623943092768927565e-01
6.250000000000000000e-01,8.788981649755958969e+00,3.427561079036622327e-01
6.300000000000000044e-01,8.859433369894269106e+00,3.236967553166862910e-01
6.350000000000000089e-01,8.929888445640118633e+00,3.052164788948527052e-01
6.400000000000000133e-01,9.000346904110561042e+00,2.873151349336689475e-01
6.450000000000000178e-01,9.070808772434283185e+00,2.699922126220236085e-01
6.500000000000000222e-01,9.141274077751686988e+00,2.532468382695648446e-01
6.550000000000000266e-01,9.211742847215003138e+00,2.370777797791518149e-01
6.600000000000000311e-01,9.282215107988367464e+00,2.214834513586575182e-01
