LAMMPS (29 Aug 2024)
OMP_NUM_THREADS environment is not set. Defaulting to 1 thread. (src/comm.cpp:98)
  using 1 OpenMP thread(s) per MPI task
Reading data file ...
  orthogonal box = (-0.13298298 -0.13298298 -0.13298298) to (14.432983 14.432983 14.432983)
  2 by 2 by 2 MPI processor grid
  reading atoms ...
  192 atoms
  reading velocities ...
  192 velocities
  read_data CPU = 0.004 seconds
WARNING: Changed valency_val to valency_boc for X (src/REAXFF/reaxff_ffield.cpp:294)

CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE

Your simulation uses code contributions which should be cited:
- Type Label Framework: https://doi.org/10.1021/acs.jpcb.3c08419
- pair reaxff command: doi:10.1016/j.parco.2011.08.005
- fix qeq/reaxff command: doi:10.1016/j.parco.2011.08.005
The log file lists these citations in BibTeX format.

CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE

Neighbor list info ...
  update: every = 10 steps, delay = 0 steps, check = yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 12
  ghost atom cutoff = 12
  binsize = 6, bins = 3 3 3
  2 neighbor lists, perpetual/occasional/extra = 2 0 0
  (1) pair reaxff, perpetual
      attributes: half, newton off, ghost
      pair build: half/bin/ghost/newtoff
      stencil: full/ghost/bin/3d
      bin: standard
  (2) fix qeq/reaxff, perpetual, copy from (1)
      attributes: half, newton off
      pair build: copy
      stencil: none
      bin: none
Setting up Verlet run ...
  Unit style    : real
  Current step  : 0
  Time step     : 0.25
Per MPI rank memory allocation (min/avg/max) = 42.6 | 42.86 | 43.16 Mbytes
   Step          Time           Temp          PotEng         KinEng         TotEng         Press          Volume        Density    
      4800   1200           2430.5943     -27551.212      1383.8217     -26167.39      -32454.219      2989.2002      2.1361662    
      4900   1225           2390.0212     -27521.454      1360.7221     -26160.732     -33989.601      2985.2049      2.1390251    
      5000   1250           2349.8441     -27488.623      1337.8478     -26150.776     -32710.401      2981.1597      2.1419276    
      5100   1275           2407.0269     -27503.245      1370.404      -26132.841      13141.215      2977.0846      2.1448596    
      5200   1300           2252.4753     -27392.443      1282.4124     -26110.031     -24486.352      2972.9865      2.1478162    
      5300   1325           2358.415      -27426.627      1342.7275     -26083.899     -32245.623      2968.8459      2.1508116    
      5400   1350           2444.2755     -27445.132      1391.6109     -26053.521     -16856.093      2964.6538      2.153853     
      5500   1375           2306.1005     -27338.335      1312.9431     -26025.392     -38811.539      2960.4285      2.1569271    
      5600   1400           2643.4048     -27502.484      1504.9821     -25997.502     -11948.912      2956.1723      2.1600325    
      5700   1425           2388.1096     -27333.509      1359.6337     -25973.875     -31790.804      2951.9137      2.1631488    
      5800   1450           2532.7266     -27399.668      1441.9692     -25957.699     -18321.711      2947.628       2.1662939    
      5900   1475           2449.3108     -27342.732      1394.4776     -25948.254     -6159.1361      2943.3087      2.1694729    
      6000   1500           2524.8946     -27377.997      1437.5101     -25940.487     -21431.559      2938.9802      2.1726681    
      6100   1525           2647.9148     -27446.769      1507.5498     -25939.219     -9413.8916      2934.6575      2.1758683    
      6200   1550           2605.5278     -27433.739      1483.4174     -25950.321      10040.351      2930.3617      2.1790581    
      6300   1575           2275.3441     -27275.796      1295.4324     -25980.363      16207.875      2926.1208      2.1822163    
      6400   1600           2474.6466     -27430.998      1408.9022     -26022.096     -7337.5721      2921.9303      2.1853459    
