q_Ainv,two_theta_deg,I_norm
7.650000000000000133e-01,1.076298731630836336e+01,2.110213557054502545e-02
7.700000000000000178e-01,1.083354328377518172e+01,1.704666156280508146e-02
7.750000000000000222e-01,1.090410337083958758e+01,1.344560438042911345e-02
7.800000000000000266e-01,1.097466760498094196e+01,1.029095855884364433e-02
7.850000000000000311e-01,1.104523601369297836e+01,7.574539533598405837e-03
7.900000000000000355e-01,1.111580862448389340e+01,5.287991994548257683e-03
7.949999999999999289e-01,1.118638546487645158e+01,3.422798286438864281e-03
8.000000000000000444e-01,1.125696656240808835e+01,1.970286848297225345e-03
8.049999999999999378e-01,1.132755194463099535e+01,9.216406840651369383e-04
8.100000000000000533e-01,1.139814163911224654e+01,2.679058569474873945e-04
8.149999999999999467e-01,1.146873567343386746e+01,0.000000000000000000e+00
8.200000000000000622e-01,1.153933407519297027e+01,1.087208355242186622e-04
8.249999999999999556e-01,1.160993687200181590e+01,5.847546959042669839e-04
8.300000000000000711e-01,1.168054409148795436e+01,1.418685038576593567e-03
8.349999999999999645e-01,1.175115576129429051e+01,2.601000947905668468e-03
8.400000000000000799e-01,1.182177190907922437e+01,4.122105616806133119e-03
8.449999999999999734e-01,1.189239256251669907e+01,5.972324801042975216e-03
8.500000000000000888e-01,1.196301774929636252e+01,8.141915239227357978e-03
8.549999999999999822e-01,1.203364749712361892e+01,1.062107303162209727e-02
8.599999999999999867e-01,1.210428183371976374e+01,1.339994197097420063e-02
8.649999999999999911e-01,1.217492078682207080e+01,1.646862181869476749e-02
8.699999999999999956e-01,1.224556438418389170e+01,1.981717651982313824e-02
8.750000000000000000e-01,1.231621265357477135e+01,2.343564235032542103e-02
8.800000000000000044e-01,1.238686562278053849e+01,2.731403599040442901e-02
8.850000000000000089e-01,1.245752331960340875e+01,3.144236251762280721e-02
8.900000000000000133e-01,1.252818577186210192e+01,3.581062331377263264e-02
8.950000000000000178e-01,1.259885300739192360e+01,4.040882387956376554e-02
9.000000000000000222e-01,1.266952505404488605e+01,4.522698155134615566e-02
9.050000000000000266e-01,1.274020193968979697e+01,5.025513311421884316e-02
9.100000000000000311e-01,1.281088369221237677e+01,5.548334230603806094e-02
9.150000000000000355e-01,1.288157033951535624e+01,6.090170720698247914e-02
9.199999999999999289e-01,1.295226190951857603e+01,6.650036750949486763e-02
9.250000000000000444e-01,1.302295843015909504e+01,7.226951166357847844e-02
9.299999999999999378e-01,1.309365992939129342e+01,7.819938389258747347e-02
9.350000000000000533e-01,1.316436643518698091e+01,8.428029107482622184e-02
9.399999999999999467e-01,1.323507797553549281e+01,9.050260948642856185e-02
9.450000000000000622e-01,1.330579457844381075e+01,9.685679140117578467e-02
9.499999999999999556e-01,1.337651627193663550e+01,1.033333715430727467e-01
9.550000000000000711e-01,1.344724308405653623e+01,1.099229733876921633e-01
9.599999999999999645e-01,1.351797504286401086e+01,1.166163153084625315e-01
9.650000000000000799e-01,1.358871217643763707e+01,1.234042165642732503e-01
9.699999999999999734e-01,1.365945451287412737e+01,1.302776031249334998e-01
9.750000000000000888e-01,1.373020208028848010e+01,1.372275133312284012e-01
9.799999999999999822e-01,1.380095490681405757e+01,1.442451033864793619e-01
9.849999999999999867e-01,1.387171302060270150e+01,1.513216526767239833e-01
9.899999999999999911e-01,1.394247644982484857e+01,1.584485689167994815e-01
9.949999999999999956e-01,1.401324522266960848e+01,1.656173931198187677e-01
1.000000000000000000e+00,1.408401936734490434e+01,1.728198043877062218e-01
1.004999999999999893e+00,1.415479891207755436e+01,1.800476245206552584e-01
1.010000000000000009e+00,1.422558388511340510e+01,1.872928224435598532e-01
