q_Ainv,two_theta_deg,I_norm
8.900000000000000133e-01,1.252818577186210192e+01,5.908785681182340266e-01
8.950000000000000178e-01,1.259885300739192360e+01,6.087658989475468463e-01
9.000000000000000222e-01,1.266952505404488605e+01,6.264205378387088796e-01
9.050000000000000266e-01,1.274020193968979697e+01,6.438220060227811681e-01
9.100000000000000311e-01,1.281088369221237677e+01,6.609506482003003613e-01
9.150000000000000355e-01,1.288157033951535624e+01,6.777876406227907324e-01
9.199999999999999289e-01,1.295226190951857603e+01,6.943149980114583508e-01
9.250000000000000444e-01,1.302295843015909504e+01,7.105155793203474790e-01
9.299999999999999378e-01,1.309365992939129342e+01,7.263730923526788841e-01
9.350000000000000533e-01,1.316436643518698091e+01,7.418720972405192793e-01
9.399999999999999467e-01,1.323507797553549281e+01,7.569980087992843609e-01
9.450000000000000622e-01,1.330579457844381075e+01,7.717370977699699042e-01
9.499999999999999556e-01,1.337651627193663550e+01,7.860764909632836916e-01
9.550000000000000711e-01,1.344724308405653623e+01,8.000041703211729915e-01
9.599999999999999645e-01,1.351797504286401086e+01,8.135089709124567747e-01
9.650000000000000799e-01,1.358871217643763707e+01,8.265805778805180859e-01
9.699999999999999734e-01,1.365945451287412737e+01,8.392095223621446332e-01
9.750000000000000888e-01,1.373020208028848010e+01,8.513871763977812757e-01
9.799999999999999822e-01,1.380095490681405757e+01,8.631057468545052513e-01
9.849999999999999867e-01,1.387171302060270150e+01,8.743582683841270020e-01
9.899999999999999911e-01,1.394247644982484857e+01,8.851385954397850142e-01
9.949999999999999956e-01,1.401324522266960848e+01,8.954413933753957444e-01
1.000000000000000000e+00,1.408401936734490434e+01,9.052621286532187561e-01
1.004999999999999893e+00,1.415479891207755436e+01,9.145970581856702752e-01
1.010000000000000009e+00,1.422558388511340510e+01,9.234432178383508161e-01
1.015000000000000124e+00,1.429637431471739717e+01,9.317984101220099236e-01
1.020000000000000018e+00,1.436717022917370912e+01,9.396611911019261409e-01
1.024999999999999911e+00,1.443797165678586936e+01,9.470308565538341217e-01
1.030000000000000027e+00,1.450877862587682721e+01,9.539074273961775097e-01
1.035000000000000142e+00,1.457959116478908435e+01,9.602916344290464146e-01
1.040000000000000036e+00,1.465040930188480672e+01,9.661849024106854422e-01
1.044999999999999929e+00,1.472123306554592403e+01,9.715893335029494038e-01
1.050000000000000044e+00,1.479206248417424874e+01,9.765076901175052670e-01
1.055000000000000160e+00,1.486289758619156132e+01,9.809433771949760406e-01
1.060000000000000053e+00,1.493373840003974529e+01,9.849004239495481317e-01
1.064999999999999947e+00,1.500458495418088312e+01,9.883834651118456049e-01
1.070000000000000062e+00,1.507543727709737169e+01,9.913977217031167966e-01
1.075000000000000178e+00,1.514629539729202534e+01,9.939489813739553759e-01
1.080000000000000071e+00,1.521715934328818065e+01,9.960435783409242738e-01
1.084999999999999964e+00,1.528802914362983500e+01,9.976883729545273916e-01
1.089999999999999858e+00,1.535890482688171588e+01,9.988907309320201877e-01
1.094999999999999973e+00,1.542978642162942648e+01,9.996585022885433602e-01
1.100000000000000089e+00,1.550067395647953816e+01,1.000000000000000000e+00
1.104999999999999982e+00,1.557156746005968628e+01,9.999239784310096635e-01
1.109999999999999876e+00,1.564246696101873013e+01,9.994396115611070552e-01
