pH,Ik_over_It,FWHM_cristobalite,size_cristobalite_nm,FWHM_tridymite,size_tridymite_nm
6.000000000000000000e+00,6.390000000000000124e-01,3.957999999999999852e-01,3.400000000000000000e+01,3.128000000000000225e-01,4.800000000000000000e+01
6.500000000000000000e+00,8.339999999999999636e-01,3.684000000000000052e-01,3.800000000000000000e+01,3.345000000000000195e-01,4.400000000000000000e+01
7.000000000000000000e+00,9.090000000000000302e-01,3.348999999999999755e-01,4.600000000000000000e+01,2.802999999999999936e-01,5.900000000000000000e+01
7.500000000000000000e+00,6.560000000000000275e-01,4.136000000000000232e-01,4.100000000000000000e+01,3.618000000000000105e-01,5.800000000000000000e+01
8.000000000000000000e+00,7.069999999999999618e-01,4.131000000000000227e-01,3.600000000000000000e+01,3.669000000000000039e-01,5.200000000000000000e+01
