LAMMPS data file via write_data, version 29 Aug 2024, timestep = 68, units = real

216 atoms
3 atom types

0 17.16 xlo xhi
0 17.16 ylo yhi
0 17.16 zlo zhi

Masses

1 28.0855
2 15.9994
3 1.008

Atoms # charge

2 1 0.8649922817354495 2.138253143234813 2.1948193318599767 2.100781279579799 0 0 0
3 1 0.8486033329028441 17.153320346881554 4.302464988243815 4.255729191116413 -1 0 0
4 1 0.9185256258389539 2.130584496682181 6.459996077805697 6.374299718517422 0 0 0
5 1 0.8142826510769162 4.275867175809566 0.035798585365835175 4.130676354013014 0 0 0
6 1 0.8532086880153348 6.443498778883533 2.179628649945949 6.451762355121513 0 0 0
7 1 0.9686329679484702 4.297390697497167 4.356225201736375 17.122657245210775 0 0 -1
8 1 0.9044246487034703 6.446253462714971 6.433293649086828 2.137432278859119 0 0 0
15 1 0.9267736703591146 4.302843886652524 4.278440631362829 8.619442408598017 0 0 0
17 1 0.822585578310344 17.158856971119476 8.575952652805908 0.02120458952056679 -1 0 0
21 1 0.9297710609860339 4.294637186463375 8.601819625600209 4.264521307358435 0 0 0
65 2 -0.4448353290844413 1.2455071879857735 1.1425549984799264 1.1371953656262073 0 0 0
69 2 -0.4508508910589815 0.9487730175610316 3.2619699212428057 3.336073315159698 0 0 0
70 2 -0.4539115673597703 3.385251212614132 1.0756571824083834 3.1618695268200896 0 0 0
71 2 -0.450614931964329 3.2405206970221023 3.3148945657362248 0.8857980575456065 0 0 0
72 2 -0.4642846416689767 1.1422014592034917 5.401406501259245 5.459688122055869 0 0 0
75 2 -0.4379964021401586 3.1368020933835656 5.3123816235173065 7.476852223185816 0 0 0
76 2 -0.4697611810741233 3.3946101567607636 7.552241373594868 5.228010594339334 0 0 0
77 2 -0.4738866330138226 1.0827074989953338 7.348326804232826 7.39191483568222 0 0 0
78 2 -0.4773107686953148 5.295851903528652 1.046081057923649 5.429798792452096 0 0 0
81 2 -0.461208037935293 5.369547927322043 3.3904246840125243 7.637504471459054 0 0 0
82 2 -0.4482163553654335 7.375627302655246 3.083629038373819 5.372125638081475 0 0 0
83 2 -0.4639817671491888 7.586222845107237 0.9196819109338794 7.4976971812600866 0 0 0
84 2 -0.4801008950030259 5.344415853264684 5.219910245333096 1.005804813207245 0 0 0
87 2 -0.4576878851465756 5.31210728132555 7.68348656991598 3.256748273079762 0 0 0
