# pH-conditioned hydrated silica precursor for ReaxFF (atom_style charge)

1728 atoms
3 atom types

0.0 33.7480000000 xlo xhi
0.0 33.7480000000 ylo yhi
0.0 33.7480000000 zlo zhi

Masses

1 28.085500 # Si
2 15.999400 # O
3 1.008000 # H

Atoms # charge

       1  1  0.00000000       0.00659304       0.04687703      33.74452141 # Si
       2  1  0.00000000       2.08109228       2.15367036       2.15832489 # Si
       3  1  0.00000000       0.02485551       4.24635829       4.26573121 # Si
       4  1  0.00000000       2.10740209       6.34361122       6.36209953 # Si
       5  1  0.00000000       4.18173841       0.05652998       4.21804448 # Si
       6  1  0.00000000       6.34461776       2.16861092       6.37212728 # Si
       7  1  0.00000000       4.18324345       4.25048032       0.02496824 # Si
       8  1  0.00000000       6.36157316       6.34261353       2.06275983 # Si
       9  1  0.00000000       0.03488949      33.72586697       8.42185188 # Si
      10  1  0.00000000       2.16385789       2.11389276      10.48701597 # Si
      11  1  0.00000000      33.73999790       4.22848294      12.61238569 # Si
      12  1  0.00000000       2.13799823       6.33608279      14.77826058 # Si
      13  1  0.00000000       4.24201462       0.01615985      12.71040315 # Si
      14  1  0.00000000       6.33536706       2.08990580      14.78845971 # Si
      15  1  0.00000000       4.19511208       4.21814925       8.42444553 # Si
      16  1  0.00000000       6.35653559       6.34423896      10.53618188 # Si
      17  1  0.00000000      33.69051123      33.71559813      16.85090902 # Si
      18  1  0.00000000       2.16016052       2.07843738      18.97736015 # Si
      19  1  0.00000000      33.71625162       4.23006787      21.09894258 # Si
      20  1  0.00000000       2.08718083       6.35790245      23.23535761 # Si
      21  1  0.00000000       4.27848264      33.73556212      21.13268759 # Si
      22  1  0.00000000       6.29651695       2.16661048      23.15350224 # Si
      23  1  0.00000000       4.22234308       4.25622857      16.87199947 # Si
      24  1  0.00000000       6.30807686       6.31844474      19.00294121 # Si
      25  1  0.00000000      33.69818693       0.02133381      25.25308765 # Si
      26  1  0.00000000       2.15493997       2.16087183      27.47493500 # Si
      27  1  0.00000000      33.73494763       4.21482700      29.55221954 # Si
      28  1  0.00000000       2.04990869       6.36103371      31.67123940 # Si
      29  1  0.00000000       4.19562292      33.71934774      29.47672100 # Si
      30  1  0.00000000       6.26941545       2.11981956      31.69826022 # Si
      31  1  0.00000000       4.19447765       4.24358097      25.32788588 # Si
      32  1  0.00000000       6.33348982       6.32704424      27.37972307 # Si
      33  1  0.00000000      33.74193627       8.45862031      33.71214871 # Si
      34  1  0.00000000       2.06423001      10.58885730       2.15030449 # Si
      35  1  0.00000000      33.69293149      12.71363549       4.25595836 # Si
      36  1  0.00000000       2.08082549      14.78433275       6.28919988 # Si
      37  1  0.00000000       4.22877459       8.44370664       4.21596569 # Si
      38  1  0.00000000       6.31290772      10.59361645       6.27797912 # Si
